City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
249,Korla,CN,41.76,86.15,89.01,12,28,10.92,scattered clouds,0.0,0.0
250,Waling,NP,27.98,83.77,86.36,59,30,3.22,light rain,0.11,0.0
251,Upernavik,GL,72.79,-56.15,37.49,78,71,10.29,broken clouds,0.0,0.0
252,Salekhard,RU,66.53,66.6,52.0,48,51,7.07,broken clouds,0.0,0.0
253,Houma,US,29.6,-90.72,77.0,100,90,3.36,overcast clouds,0.0,0.0
254,Joshimath,IN,30.57,79.57,77.32,43,26,5.88,light rain,0.38,0.0
255,Moree,AU,-29.47,149.85,53.6,66,90,10.29,overcast clouds,0.0,0.0
256,Goundam,ML,16.41,-3.67,91.13,31,5,15.57,clear sky,0.0,0.0
257,Saint-Georges,GD,12.06,-61.75,80.04,80,72,15.5,broken clouds,0.0,0.0
258,San Vicente,AR,-26.62,-54.13,65.43,73,0,6.38,clear sky,0.0,0.0
259,Borogontsy,RU,62.67,131.17,84.97,30,33,0.76,scattered clouds,0.0,0.0
260,Matagami,CA,49.75,-77.63,64.4,88,90,2.24,overcast clouds,0.0,0.0
261,Kaya,BF,13.09,-1.08,84.11,54,50,13.4,scattered clouds,0.0,0.0
262,Ponta Delgada,PT,37.73,-25.67,66.2,93,75,11.41,broken clouds,0.0,0.0
263,Athmallik,IN,20.72,84.53,93.29,50,21,2.82,few clouds,0.0,0.0
264,Grindavik,IS,63.84,-22.43,46.4,93,40,10.29,scattered clouds,0.0,0.0
265,Kaitangata,NZ,-46.28,169.85,45.0,74,41,1.99,scattered clouds,0.0,0.0
266,Tabou,CI,4.42,-7.35,76.33,86,91,8.88,light rain,0.19,0.0
267,Hay River,CA,60.82,-115.8,66.2,52,75,9.17,broken clouds,0.0,0.0
268,San Rafael,AR,-34.62,-68.33,49.21,61,86,13.27,overcast clouds,0.0,0.0
269,Pevek,RU,69.7,170.31,31.96,97,32,14.09,scattered clouds,0.0,0.0
