City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
500,Fengrun,CN,80.01,overcast clouds,39.83,118.12,Super 8 Tangshan North Railway Station Tangfeng Road
502,Le Vauclin,MQ,82.4,broken clouds,14.55,-60.84,Hôtel Cap Macabou
503,Aguilar De La Frontera,ES,72.0,clear sky,37.51,-4.66,Cortijo Heredia
506,San Andres,CO,84.2,dust,12.58,-81.7,Hotel Arena Blanca
510,Verkhnevilyuysk,RU,75.38,scattered clouds,63.45,120.32,Gostinitsa Mila
511,Batie,BF,73.6,clear sky,9.88,-2.92,Auberge SONDAR AFACI
514,Kampot,KH,89.6,few clouds,10.62,104.18,Champa Lodge
515,Ilhabela,BR,70.83,broken clouds,-23.78,-45.36,Ilha Flat Hotel
522,Dongsheng,CN,80.53,clear sky,39.82,109.98,Crowne Plaza Ordos
524,Los Llanos De Aridane,ES,71.6,overcast clouds,28.66,-17.92,Valle Aridane
526,The Valley,AI,84.2,scattered clouds,18.22,-63.06,CeBlue Villas & Beach Resort
527,Coahuayana,MX,79.9,scattered clouds,18.73,-103.68,Hotel Los Arcos
529,Nuevo Progreso,MX,82.0,broken clouds,23.17,-97.95,Balneario Rio el Paraiso
531,Kyaikkami,MM,85.08,broken clouds,16.08,97.57,Happy Family Kyaikkami
534,Bambanglipuro,ID,84.58,broken clouds,-7.95,110.28,Puri Brata
536,Acajutla,SV,73.99,overcast clouds,13.59,-89.83,Stop.
538,Buala,SB,84.07,overcast clouds,-8.14,159.59,Maringe Lagoon Lodge
541,Kulhudhuffushi,MV,84.24,overcast clouds,6.62,73.07,Haajy Guest House 1
543,Pokrovsk,UA,71.29,broken clouds,48.28,37.18,Druzhba
545,Katherine,AU,84.2,clear sky,-14.47,132.27,Pine Tree Motel
546,Zhigansk,RU,78.55,clear sky,66.77,123.37,Gostinichnyy Kompleks Aylgy
547,Falesti,MD,71.01,clear sky,47.57,27.71,Hotel Laguna-VIP
559,Fort-Shevchenko,KZ,81.72,clear sky,44.51,50.26,Oasis hotel Bautino
562,Strelka,RU,78.33,clear sky,58.07,93.03,"Gostinitsa ""Angara"""
563,Virginia Beach,US,72.0,broken clouds,36.85,-75.98,Hilton Virginia Beach Oceanfront
566,Road Town,VG,82.99,scattered clouds,18.42,-64.62,"ZINGARA 76ft Catamaran, full crew-all included"
570,Vila Do Maio,CV,78.8,scattered clouds,15.13,-23.22,Residence 'I Delfini'
571,Khandyga,RU,83.1,few clouds,62.67,135.6,Apel'sin
572,Progreso,MX,81.0,broken clouds,21.28,-89.67,Playa Linda Hotel
574,Savannah Bight,HN,83.25,scattered clouds,16.45,-85.85,Villa on Dunbar Rock
